pmid,included?,Note
15715249,y,
11989529,y,
18285726,y,
24270249,y,
16517995,y,no abstract
19859739,y,
14971701,y,
20212344,y,
12631320,y,
19377416,y,
18606766,y,
24086782,y,
10534192,n,
6391221,n,
11802273,y,
23738023,y,Tentative Evaluation Based on Title Only
23717700,y,
12111603,y,
16203020,y,
12173133,y,
16103587,y,
9625911,n,
17506280,n,
12567693,y,Conditional Inclusion Justification
23023349,y,
16333084,y,
18444568,n,
20639822,y,
9492776,y,
11251906,y,
18632926,y,
11164745,y,
3127137,y,_ Exclusion Justification (based on limited information)
12471430,y,
16825347,y,
21762596,y,_ Exclusion Justification (based on limited information)
12685638,y,
19623643,y,
3252756,n,
20635639,y,
15189464,y,
14651134,y,
11980401,y,
21212210,y,
6433537,n,
20970152,y,
11388508,y,
23147155,y,
18813406,y,
12581443,y,
16517998,y,
11825959,y,Conditional Inclusion Justification
2035748,n,__ Conclusion for Meta-analysis: Exclude
20971441,y,
3768597,y,Tentative Evaluation Based on Title Only
15125515,y,_ Exclusion Justification for Meta-Analysis
19070876,y,
18786847,y,
20054109,y,
16325874,y,
21353275,y,
18318933,y,
17942129,y,
19257843,y,
23836568,y,
6549606,y,
17624385,y,
12894040,y,
20890548,y,
20856856,y,
19478251,y,
16407349,y,
17300637,y,
16398753,y,
16398754,y,
22897740,y,
15719773,y,_ Preliminary Inclusion Justification (Assuming Standard Study Design)
